地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,27.7,+1.0,高い,6.5,12,少ない,69.5,110,平年並
旧東,27.8,+0.5,／,1.5,2,／,／,／,／
北大東,28.2,+0.6,／,3.5,6,／,／,／,／
