地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,27.9,+2.0,かなり高い,16.5,9,かなり少ない,238.1,133,かなり多い
旧東,27.9,+1.6,／,9.5,5,／,／,／,／
北大東,28.3,+1.8,／,16.5,9,／,／,／,／
